Index,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17
2011-11-21,8.74,5.84,5.52,16.5,63.97,5.9,8.21,19.43,7.41,17.09,15.22,203.13,11.77,4.97,7.87,11.99,12.29,49
2011-11-22,8.75,5.98,5.23,16.16,61.29,5.52,7.93,19.21,7.07,16.45,15,199.66,11.43,4.75,7.34,11.56,11.8,52.19
2011-11-23,8.69,6,5.2,16.4,64.23,5.51,7.81,19.8,7.05,16.77,14.95,201.1,11.51,4.68,7.44,11.49,11.54,51.36
2011-11-24,8.7,5.97,5.27,16.53,64.14,5.54,7.84,19.98,7.1,16.96,15.2,205.7,11.52,4.67,7.58,11.62,12.12,51.69
2011-11-25,8.62,6.07,5.29,16.56,64.32,5.63,8.06,20.8,7.14,17.12,16.02,214.7,11.67,4.68,8.11,11.89,12.73,51.65
2011-11-28,8.6,6.17,5.32,16.45,64.19,5.69,7.99,21.14,7.16,16.99,15.93,216.77,11.62,4.72,8.05,11.85,13.34,50.79
2011-11-29,8.73,6.11,5.38,16.57,64.78,5.77,8.14,20.97,7.23,17.35,16.32,213.3,11.99,4.76,8.11,NA,14.01,50.22
2011-11-30,8.5,6.11,5.35,16.42,64.45,5.69,8.05,20.6,7.2,17.08,15.8,209.69,11.95,4.72,8.14,11.89,13.97,51.21
2011-12-01,8.81,6.27,5.33,16.26,63.08,6.26,8.17,20.56,7.17,16.9,15.74,209.85,11.92,4.66,8.22,12.2,13.96,50.44
2011-12-02,8.8,6.18,5.23,15.72,62.41,6.17,8.01,20.59,7.07,16.83,15.39,208.2,11.63,4.63,7.97,12.08,13.57,50
2011-12-05,8.8,6.22,5.17,15.24,61.38,6.07,7.92,20.48,7.01,16.77,15.69,209.9,11.5,4.54,7.85,12.01,NA,50.64
2011-12-06,8.73,6.09,5.15,15.3,60,5.88,7.87,19.8,6.98,16.29,15.25,204.31,11.56,4.48,7.64,11.87,13.4,51.14
2011-12-07,8.78,6.11,5.24,15.38,60.95,6.47,8.04,19.76,7.15,16.45,15.33,204.93,11.77,4.56,7.8,12.24,13.4,50.33
2011-12-08,8.78,6.16,5.25,15.24,60.52,6.41,8,19.98,7.13,16.51,15.45,205.8,11.64,4.56,7.78,12.08,12.97,48.86
2011-12-09,8.7,6.05,5.43,15.98,61.75,6.72,8.35,20.09,7.34,17.29,15.52,207.42,12.17,4.87,8.16,12.66,13.18,48.17
2011-12-12,8.66,6.05,5.42,15.97,63.47,6.61,8.3,19.88,7.34,17.48,15.71,212.88,12.12,4.94,8.1,NA,13.84,48.48
2011-12-13,8.58,6.11,5.34,15.54,62.11,6.42,8.07,19.91,7.39,17.11,15.98,215.27,11.77,4.9,7.85,12.16,14.53,48.19
2011-12-14,8.6,6.03,5.33,15.43,61.16,6.39,8.03,20.18,7.36,16.89,15.76,214.82,11.79,4.9,7.82,12.1,15.26,47.95
2011-12-15,8.49,5.89,5.29,15.45,60.98,6.31,8.05,19.94,7.36,17.02,15.98,214.77,11.85,4.87,7.83,12.17,16.02,47.98
2011-12-16,8.62,5.9,5.27,15.32,60.6,6.35,8.05,19.38,7.32,16.93,15.97,211.48,12.02,4.93,7.65,12.16,16.18,47.5
2011-12-19,8.61,5.87,5.23,15.4,60.65,6.34,7.96,19.36,7.21,16.85,15.49,211.86,11.91,4.99,7.37,11.98,16.01,47.01
2011-12-20,8.59,5.85,5.14,15.39,59.77,6.28,7.74,18.91,7.06,16.13,14.94,207.27,11.7,4.9,7.32,11.66,16.81,47.42
2011-12-21,8.53,5.91,5.12,14.75,59.29,6.51,7.75,18.91,7.06,15.7,15.03,203.01,11.6,4.85,7.37,11.72,17.62,47.89
2011-12-22,8.53,5.82,5.23,15.28,60.92,6.62,7.92,19.26,7.17,16.2,15.19,207.59,11.83,4.96,7.44,12.03,17.96,47.31
